symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
ANUP,The Anup Engineering Limited,AANAL P. BHAGWATI,Immediate relative,38.0,53200,Buy,29-May-2023,Market Purchase,BSE
ANUP,The Anup Engineering Limited,AANAL P. BHAGWATI,Immediate relative,150.0,209992,Buy,29-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,PRAVIN N. BHAGWATI,Immediate relative,289.0,404600,Buy,29-May-2023,Market Purchase,BSE
ANUP,The Anup Engineering Limited,PRAVIN N. BHAGWATI,Immediate relative,500.0,701160,Buy,26-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,PRAVIN N. BHAGWATI,Immediate relative,211.0,295406,Buy,29-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,REENA P. BHAGWATI,Director,335.0,468959,Buy,29-May-2023,Market Purchase,BSE
MFSL,Max Financial Services Limited,Max Financial Employees Welfare Trust,Other,5503.0,3766113,Buy,25-May-2023,Market Purchase,NSE
GNA,GNA Axles Limited,GNA GEARS LIMITED,Promoter Group,100.0,76700,Buy,23-May-2023,Market Purchase,NSE
NRAIL,N R Agarwal Industries Limited,REERA HOLDINGS PRIVATE LIMITED,Promoter Group,2100.0,562575,Buy,26-May-2023,Market Purchase,NSE
NRAIL,N R Agarwal Industries Limited,REERA HOLDINGS PRIVATE LIMITED,Promoter Group,3500.0,928772,Buy,25-May-2023,Market Purchase,NSE
TIRUMALCHM,Thirumalai Chemicals Limited,Sujata Sampath Family Trust,Promoter Group,5500.0,998250,Buy,26-May-2023,Market Purchase,NSE
TIRUMALCHM,Thirumalai Chemicals Limited,Sampath Family Trust,Promoter Group,5500.0,998250,Buy,26-May-2023,Market Purchase,NSE
COOLCAPS,Cool Caps Industries Limited,Vanshay Goenka,Promoters,1250.0,694443,Buy,25-May-2023,Market Purchase,NSE
TMB,Tamilnad Mercantile Bank Limited,A.Radhika,Immediate relative,2600.0,1074969,Buy,22-May-2023,Market Purchase,NSE
COOLCAPS,Cool Caps Industries Limited,Rajeev Goenka,Promoters,750.0,418167,Buy,25-May-2023,Market Purchase,NSE
COOLCAPS,Cool Caps Industries Limited,Purv Flexipack Private Limited,Promoters,15000.0,8106049,Buy,24-May-2023,Market Purchase,NSE
DHAMPURSUG,Dhampur Sugar Mills Limited,GOEL INVESTMENTS LIMITED,Promoters,4.0,994,Buy,26-May-2023,Market Purchase,NSE
MAHICKRA,Mahickra Chemicals Limited,Champaklal Kacharalal Gandhi,Promoter Group,1500.0,133500,Buy,26-May-2023,Market Purchase,NSE
CSLFINANCE,CSL Finance Limited,Rohit Gupta HUF,Promoter Group,2387.0,494730,Buy,24-May-2023,Market Purchase,NSE
PSPPROJECT,PSP Projects Limited,PRAHALADBHAI SHIVRAMBHAI PATEL,Director,25000.0,17862408,Buy,24-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,25000.0,3064349,Buy,25-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,25000.0,3035157,Buy,24-May-2023,Market Purchase,NSE
SDBL,Som Distilleries & Breweries Limited,DEEPAK ARORA,Promoters,10500.0,2300129,Buy,24-May-2023,Market Purchase,NSE
GNA,GNA Axles Limited,GNA GEARS LIMITED,Promoter Group,200.0,150000,Buy,18-May-2023,Market Purchase,NSE
NRAIL,N R Agarwal Industries Limited,REERA HOLDINGS PRIVATE LIMITED,Promoter Group,11000.0,2839430,Buy,23-May-2023,Market Purchase,NSE
NRAIL,N R Agarwal Industries Limited,REERA HOLDINGS PRIVATE LIMITED,Promoter Group,2500.0,638000,Buy,22-May-2023,Market Purchase,NSE
ABREL,Aditya Birla Real Estate Limited,CTIL Employee Welfare Trust,Employees/Designated Employees,3100.0,2492490,Buy,24-May-2023,Market Purchase,NSE
TIRUMALCHM,Thirumalai Chemicals Limited,Bhooma Parthasarathy,Promoter Group,39200.0,7095815,Buy,23-May-2023,Market Purchase,NSE
TIRUMALCHM,Thirumalai Chemicals Limited,Rangaswamy Parthasarathy HUF,Promoter Group,5500.0,989945,Buy,24-May-2023,Market Purchase,NSE
TIRUMALCHM,Thirumalai Chemicals Limited,R Parthasarathy,Promoters,11200.0,2007732,Buy,23-May-2023,Market Purchase,NSE
ABREL,Aditya Birla Real Estate Limited,CTIL Employee Welfare Trust,Employees/Designated Employees,21523.0,17334638,Buy,23-May-2023,Market Purchase,NSE
CIEINDIA,CIE Automotive India Limited,Madhavi Nathani,Immediate relative,2025.0,894370,Buy,15-May-2023,Market Purchase,NSE
CIEINDIA,CIE Automotive India Limited,Madhavi Nathani,Immediate relative,675.0,313200,Buy,16-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,30000.0,3571518,Buy,22-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,25000.0,2977917,Buy,23-May-2023,Market Purchase,NSE
PSPPROJECT,PSP Projects Limited,PRAHALADBHAI SHIVRAMBHAI PATEL,Director,50000.0,35196999,Buy,22-May-2023,Market Purchase,NSE
LINC,Linc Limited,SARITA JALAN,Promoter Group,2500.0,1804436,Buy,22-May-2023,Market Purchase,NSE
LINC,Linc Limited,DEEPAK JALAN,Promoters,5000.0,3599833,Buy,22-May-2023,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,OSTWAL PHOSCHEM ( INDIA) LIMITED,Promoters,38969.0,17729778,Buy,19-May-2023,Market Purchase,NSE
SERVOTECH,Servotech Power Systems Limited,VIKAS BHATIA,Promoter Group,500.0,47000,Buy,23-May-2023,Market Purchase,NSE
SERVOTECH,Servotech Power Systems Limited,VIKAS BHATIA,Promoter Group,500.0,44875,Buy,23-May-2023,Market Purchase,NSE
ABREL,Aditya Birla Real Estate Limited,CTIL Employee Welfare Trust,Employees/Designated Employees,40000.0,32122258,Buy,22-May-2023,Market Purchase,NSE
NUVOCO,Nuvoco Vistas Corporation Limited,Jogesh Jain HUF,Other,2.0,2033800,Buy,17-May-2023,Market Purchase,NSE
CENTRUM,Centrum Capital Limited,Businessmatch Services (India) Private Limited,Promoters,100000.0,1874999,Buy,22-May-2023,Market Purchase,NSE
ABREL,Aditya Birla Real Estate Limited,CTIL Employee Welfare Trust,Employees/Designated Employees,71797.0,57886734,Buy,19-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,30000.0,3572212,Buy,19-May-2023,Market Purchase,NSE
MUKANDLTD,Mukand Limited,BARODA INDUSTRIES PRIVATE LIMITED,-,25000.0,2946700,Buy,18-May-2023,Market Purchase,NSE
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Anushree Tainwala,Immediate relative,11217.0,1227457,Buy,15-May-2023,Market Purchase,NSE
GNA,GNA Axles Limited,GNA GEARS LIMITED,Promoter Group,600.0,460000,Buy,10-May-2023,Market Purchase,NSE
UGARSUGAR,The Ugar Sugar Works Limited,SANGLI FABRICATORS PRIVATE LIMITED,Promoter Group,11.0,108,Buy,16-May-2023,Market Purchase,NSE
LINC,Linc Limited,DEEPAK JALAN,Promoters,4000.0,2828193,Buy,18-May-2023,Market Purchase,NSE
LINC,Linc Limited,EKTA JALAN,Promoter Group,3500.0,2519573,Buy,19-May-2023,Market Purchase,NSE
